Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius
1309,8/27/2019 12:05,langston,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,32.92,46.7,6.63,-1,-1,14.79,26.32,38.14,30.64,2.28,1500,0.15,1,2500,150,0.4
1340,8/27/2019 12:08,langston,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,33.17,65.5,14.08,21.78,-1,14.79,26.32,38.14,30.83,2.34,1500,0.1,1,2500,150,0.4
1334,8/27/2019 12:08,lemur,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,27.81,47.33,6.66,-1,-1,14.25,18.51,22.37,26.2,1.61,1500,0.15,1,2500,150,0.4
1373,8/27/2019 12:10,lemur,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,23.08,61.33,6.31,17.66,-1,8.92,12.58,15.65,22.19,0.89,1500,0.1,1,2500,150,0.4
1401,8/27/2019 12:12,lemur,geog391,CreateCar,3,OvalTrack,25,Gauss,Gauss,Bayes,1,21.42,80.86,6.05,11.04,-1,8.92,12.58,15.65,19.73,1.69,1500,0.05,1,2500,150,0.4
1432,8/27/2019 12:14,lemur,geog391,CreateCar,4,OvalTrack,19,Gauss,Bayes,Bayes,1,24.01,61.27,7.62,19.33,-1,8.92,12.58,15.65,24.01,0,1500,0.1,1,2150,150,0.4
1338,8/27/2019 12:08,leslieknope,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,28.02,49.1,6.65,-1,-1,10.42,14.66,18.38,26.42,1.59,1500,0.15,1,2500,150,0.4
1352,8/27/2019 12:09,leslieknope,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,26.18,65.04,6.29,18.35,-1,10.42,14.66,18.38,23.49,2.68,1500,0.1,1,2500,150,0.4
1421,8/27/2019 12:13,leslieknope,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,26.7,53.8,7.68,-1,-1,10.42,14.66,18.38,25.65,1.04,1500,0.1,1,2150,150,0.4
1436,8/27/2019 12:14,leslieknope,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,23.01,67.05,5.91,18.1,-1,10.42,14.66,18.38,21.51,1.5,1500,0.05,1,2500,150,0.4
1406,8/27/2019 12:12,mari111,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,24.53,53.33,6.81,-1,-1,12.56,32.81,37.49,24.37,0.16,1500,0.15,1,2500,150,0.4
1427,8/27/2019 12:13,mari111,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,29.78,60.36,5.7,21.01,-1,12.56,32.81,37.49,21.99,7.78,1500,0.1,1,2500,150,0.4
1468,8/29/2019 11:04,mari111,geog391,CreateCar,3,OvalTrack,25,Gauss,Gauss,Bayes,1,27.7,57.59,5.93,-1,-1,9.18,18.17,25.89,22.65,5.04,1500,0.05,1,2500,150,0.4
1477,8/29/2019 11:05,mari111,geog391,CreateCar,4,OvalTrack,19,Gauss,Bayes,Bayes,1,23.95,59.84,7.72,-1,-1,9.18,18.17,25.89,23.55,0.39,1500,0.1,1,2150,150,0.4
1337,8/27/2019 12:08,olivia,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,29.82,48.93,6.63,-1,-1,12.52,16.8,20.54,26.82,3,1500,0.15,1,2500,150,0.4
1384,8/27/2019 12:11,olivia,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,25.8,58.02,6.95,-1,-1,12.52,16.8,20.54,23.69,2.11,1500,0.1,1,2500,150,0.4
1423,8/27/2019 12:13,olivia,geog391,CreateCar,3,OvalTrack,25,Gauss,Gauss,Bayes,1,22.77,66.64,5.9,16.69,-1,12.52,16.8,20.54,20.83,1.94,1500,0.05,1,2500,150,0.4
1471,8/29/2019 11:04,olivia,geog391,CreateCar,4,OvalTrack,19,Gauss,Bayes,Bayes,1,23.49,59.91,6.45,-1,-1,9.45,13.48,16.9,22.83,0.66,1500,0.1,1,2150,150,0.4
1463,8/29/2019 11:03,player1,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,23.65,55.76,6.62,-1,-1,10.36,14.66,18.43,23.65,0,1500,0.15,1,2500,150,0.4
1484,8/29/2019 11:05,player1,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,24.1,67.65,6.3,20.15,-1,10.36,14.66,18.43,22.14,1.95,1500,0.1,1,2500,150,0.4
1502,8/29/2019 11:08,player1,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,22.29,63.07,6.61,18.86,-1,10.36,14.66,18.43,22.29,0,1500,0.1,1,2150,150,0.4
1515,8/29/2019 11:10,player1,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,20.74,82.66,5.93,11.06,-1,10.36,14.66,18.43,18.96,1.78,1500,0.05,1,2500,150,0.4
1331,8/27/2019 12:08,ranger21119,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,26.67,52.22,6.64,-1,-1,18.59,22.95,26.85,25.11,1.56,1500,0.15,1,2500,150,0.4
1386,8/27/2019 12:11,ranger21119,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,21.62,71.98,6.93,14.78,-1,18.59,22.95,26.85,21.62,0,1500,0.1,1,2500,150,0.4
1356,8/27/2019 12:09,student1,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,25.48,54.03,8.78,-1,-1,9.59,13.83,17.56,25.48,0,1500,0.15,1,2500,150,0.4
1389,8/27/2019 12:11,student1,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,27.64,57.25,6.93,-1,-1,9.59,13.83,17.56,24.61,3.03,1500,0.1,1,2500,150,0.4
1508,8/29/2019 11:11,tyler,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,26.62,51.34,6.66,-1,-1,10.77,15.04,18.74,25.1,1.51,1500,0.15,1,2500,150,0.4
1518,8/29/2019 11:13,tyler,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,24.17,68.05,6.95,14.66,-1,10.77,15.04,18.74,21.63,2.54,1500,0.1,1,2500,150,0.4
1524,8/29/2019 11:15,tyler,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,23.21,64.14,7.68,20.08,-1,10.54,16.08,21.79,23.21,0,1500,0.1,1,2150,150,0.4
1528,8/29/2019 11:16,tyler,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,18.41,93.96,5.92,10.91,-1,10.54,16.08,21.79,18.41,0,1500,0.05,1,2500,150,0.4
1295,8/27/2019 12:04,agt,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,21.72,56.76,7.73,-1,-1,10.77,15.03,18.76,21.72,0,1500,0.15,1,2500,150,0.4
1375,8/27/2019 12:10,agt,geog391,CreateCar,2,StraightTrack,25,Gauss,Gauss,Bayes,1,16.12,92.78,5.34,9.87,-1,10.77,15.03,18.76,16.12,0,1500,0.05,1,2500,150,0.4
1427,8/27/2019 12:13,agt,geog391,Paired,3,StraightTrack,7,Bayes,Gauss,Bayes,1,18.01,72.7,5.78,12.7,-1,10.77,15.03,18.76,18.01,0,1500,0.1,1,2500,150,0.4
1466,8/29/2019 11:03,agt,geog391,CreateCar,4,StraightTrack,19,Gauss,Bayes,Bayes,1,19.53,64.95,6.48,16.55,-1,8.92,12.58,15.67,19.53,0,1500,0.1,1,2150,150,0.4
1310,8/27/2019 12:06,bigstatsfan99,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,21.39,56.76,7.43,-1,-1,10.44,14.71,18.43,21.39,0,1500,0.15,1,2500,150,0.4
1400,8/27/2019 12:12,bigstatsfan99,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,18,72.73,5.74,12.69,-1,10.44,14.71,18.43,18,0,1500,0.1,1,2500,150,0.4
1437,8/27/2019 12:14,bigstatsfan99,geog391,CreateCar,3,StraightTrack,19,Gauss,Bayes,Bayes,1,19.51,64.86,6.47,16.55,-1,10.44,14.71,18.43,19.51,0,1500,0.1,1,2150,150,0.4
1454,8/29/2019 10:57,bigstatsfan99,geog391,CreateCar,4,StraightTrack,25,Gauss,Gauss,Bayes,1,16.13,93.7,5.35,9.87,-1,10.44,14.71,18.43,16.13,0,1500,0.05,1,2500,150,0.4
1349,8/27/2019 12:09,cba,geog391,Paired,1,StraightTrack,7,Bayes,Gauss,Bayes,1,18.48,72.69,6.23,13.19,-1,10.12,14.39,18.1,18.48,0,1500,0.1,1,2500,150,0.4
1374,8/27/2019 12:10,cba,geog391,CreateCar,2,StraightTrack,19,Gauss,Bayes,Bayes,1,19.52,64.76,6.48,16.56,-1,10.12,14.39,18.1,19.52,0,1500,0.1,1,2150,150,0.4
1395,8/27/2019 12:11,cba,geog391,CreateCar,3,StraightTrack,25,Gauss,Gauss,Bayes,1,16.13,92.78,5.34,9.86,-1,10.12,14.39,18.1,16.13,0,1500,0.05,1,2500,150,0.4
